Date;Price
07.05.2014;149,9894
06.05.2014;149,779
05.05.2014;150,8164
02.05.2014;150,9015
30.04.2014;150,6407
29.04.2014;150,7715
28.04.2014;149,57
25.04.2014;149,4909
24.04.2014;150,677
23.04.2014;150,4045
22.04.2014;151,0355
21.04.2014;150,1993
17.04.2014;149,6287
15.04.2014;147,7315
14.04.2014;147,8145
11.04.2014;146,6079
10.04.2014;148,1689
09.04.2014;150,1998
08.04.2014;149,5342
07.04.2014;149,6121
04.04.2014;151,4655
03.04.2014;151,8881
02.04.2014;151,5663
01.04.2014;150,8894
31.03.2014;150,126
28.03.2014;149,3188
27.03.2014;148,6037
26.03.2014;147,9926
25.03.2014;148,0213
24.03.2014;147,0949
21.03.2014;147,5414
20.03.2014;147,5309
19.03.2014;146,6409
18.03.2014;147,2143
17.03.2014;146,0018
14.03.2014;144,918
13.03.2014;145,8104
12.03.2014;147,1619
11.03.2014;148,224
10.03.2014;148,4114
07.03.2014;149,1548
06.03.2014;149,8339
05.03.2014;150,1568
04.03.2014;149,9512
03.03.2014;147,7237
28.02.2014;149,153
26.02.2014;149,6802
25.02.2014;149,2928
24.02.2014;149,3198
21.02.2014;148,444
20.02.2014;148,3424
19.02.2014;147,9411
18.02.2014;148,3798
17.02.2014;148,4183
14.02.2014;148,1928
12.02.2014;148,1747
11.02.2014;146,7821
10.02.2014;145,5105
07.02.2014;145,4389
06.02.2014;143,9697
05.02.2014;142,7848
04.02.2014;142,8251
03.02.2014;143,0421
31.01.2014;145,7178
30.01.2014;145,6136
29.01.2014;144,4417
28.01.2014;144,7905
27.01.2014;144,1272
24.01.2014;145,3658
23.01.2014;148,232
22.01.2014;150,619
21.01.2014;150,5577
20.01.2014;150,1466
17.01.2014;150,2554
16.01.2014;149,9689
15.01.2014;150,1462
14.01.2014;148,4143
13.01.2014;148,3036
10.01.2014;148,7656
09.01.2014;148,8891
08.01.2014;149,191
07.01.2014;148,8841
06.01.2014;147,9767
03.01.2014;148,8
02.01.2014;148,4173
